Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
Liquid Death,https://www.crunchbase.com/organization/liquid-death-mountain-water,"Santa Monica, California, United States",Liquid Death is a non-alcoholic beverage brand that is focused on health and sustainability.,"Food and Beverage, Product Design, Wellness","20,007",,,8,,2024-03-11,67000000,USD,67000000,Venture - Series Unknown,67000000,USD,67000000,260600000,USD,260600000,Venture - Series Unknown,267600000,USD,267600000,"Josh Brolin, Jim Jefferies, Neal Brennan, Derrick Green, Live Nation Entertainment",2017-01-01,year,Active
Xiaoice,https://www.crunchbase.com/organization/xiaoice,"Beijing, Beijing, China",Bombax is an AI company that develops a chatbot that acts as a digital assistant with the capability to understand human conversations.,"Artificial Intelligence (AI), Chatbot, Human Computer Interaction, Machine Learning, Natural Language Processing, Virtual Assistant","20,040",,,2,Early Stage Venture,2022-11-07,1000000000,CNY,138316412,Series B,1000000000,CNY,138316412,1000000000,CNY,138316413,Series B,1000000000,CNY,138316413,"Hillhouse Investment, NetEase, 5Y Capital, Northern Light Venture Capital, IDG Capital",2014-01-01,year,Active
SemiDrive,https://www.crunchbase.com/organization/semidrive,"Nanjing, Jiangsu, China",SemiDrive is a Car smart driving chip developer,Semiconductor,"20,045",,,4,Early Stage Venture,2022-11-28,1000000000,CNY,138723191,Series B,1000000000,CNY,138723191,2500000000,CNY,366378487,Series B,2500000000,CNY,366378487,"Sequoia Capital China, Contemporary Amperex Technology, Vertex Ventures, Huatai Insurance Group, Matrix Partners China",2018-01-01,year,Active
Airwallex,https://www.crunchbase.com/organization/airwallex,"Melbourne, Victoria, Australia",Airwallex is the leading financial technology platform for modern businesses growing beyond borders,"Finance, Financial Services, FinTech, Payments","20,080",,,12,Late Stage Venture,2022-10-10,100000000,USD,100000000,Series E,100000000,USD,100000000,902000000,USD,902000000,Series E,902000000,USD,902000000,"Tencent, Sequoia Capital, Mastercard, Sequoia Capital China, Horizons Ventures",2015-12-01,month,Active
Snack Is Busy,https://www.crunchbase.com/organization/snack-is-busy,"Changsha, Jiangsu, China",Snack Is Busy is a food chain brand that delivers snacks to people using delivery trucks across the nation.,"Food and Beverage, Food Delivery, Restaurants","20,166",,,4,,2023-12-18,1050000000,CNY,147203140,Corporate Round,1050000000,CNY,147203140,198503672,USD,198503672,Corporate Round,198503672,USD,198503672,"Sequoia Capital China, Gaorong Capital, 5Y Capital, BA Capital, GenBridge Capital",2016-01-01,year,Active
Runway,https://www.crunchbase.com/organization/runwayml,"New York, New York, United States",Runway is an applied AI research company that builds the next generation of creativity tools.,"Apps, Artificial Intelligence (AI), Generative AI, Machine Learning, Software, Video Editing","20,171",,,6,Late Stage Venture,2023-06-29,141000000,USD,141000000,Series C,141000000,USD,141000000,236500000,USD,236500000,Series C,236500000,USD,236500000,"NVIDIA, Google, Madrona, Compound, Amjad Masad",2018-01-01,day,Active
1Password,https://www.crunchbase.com/organization/1password,"Toronto, Ontario, Canada","1Password operates as a password manager for documents, credit card information, and addresses.","Cyber Security, Network Security, Privacy, Software","20,248",,,3,Late Stage Venture,2022-01-19,620000000,USD,620000000,Series C,620000000,USD,620000000,920135000,USD,920135000,Series C,920135000,USD,920135000,"Lightspeed Venture Partners, ICONIQ Growth, Accel, Tiger Global Management, Salesforce Ventures",2005-07-12,day,Active
OYO,https://www.crunchbase.com/organization/oyo-rooms,"Gurgaon, Haryana, India",OYO is a global travel tech company that connects its patrons and guests.,"Hospitality, PropTech, Software, Travel, Travel Accommodations","20,417",,,19,Late Stage Venture,2024-03-12,2000000000,INR,24144280,Debt Financing,5000000,USD,5000000,3063032853,USD,3063032853,Series F,3326269789,USD,3326269789,"SoftBank, JP Morgan Chase, Microsoft, Airbnb, Didi",2012-02-21,day,Active
Cribl,https://www.crunchbase.com/organization/cribl,"San Francisco, California, United States","Cribl enables open observability and defies data gravity, giving customers radical levels of choice and control over their data.","Big Data, Information Technology, Real Time, Software","20,470",,,4,Late Stage Venture,2022-05-24,150000000,USD,150000000,Series D,150000000,USD,150000000,402208560,USD,402208560,Series D,402208560,USD,402208560,"Sequoia Capital, CrowdStrike, Citi Ventures, Tiger Global Management, IVP",2018-01-01,year,Active
Shield AI,https://www.crunchbase.com/organization/shield-ai,"San Diego, California, United States",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,"Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security","20,493",,,13,Late Stage Venture,2023-12-29,200000000,USD,200000000,Debt Financing,300000000,USD,300000000,778144999,USD,778144999,Series F,1073144999,USD,1073144999,"Hercules Capital, Point72 Ventures, Andreessen Horowitz, Breyer Capital, Bloomberg Beta",2015-05-28,day,Active
